Zone,Lat1,Long1,Lat2,Long2,Lat3,Long3,Lat4,Long4,Lat5,Long5,Lat6,Long6,Lat7,Long7
1,6.679007,100.43786,6.678552,100.439138,6.677875,100.438941,6.678078,100.437672,,,,,,
2,6.678552,100.439138,6.678604,100.440057,6.678258,100.441752,6.677408,100.441552,6.677875,100.438941,,,,
3,6.678258,100.441752,6.678153,100.444104,6.677219,100.443739,6.677408,100.441552,,,,,,
4,6.678153,100.444104,6.677952,100.445825,6.676801,100.44544,6.677219,100.443739,,,,,,
5,6.677952,100.445825,6.677573,100.447451,6.676353,100.447148,6.676801,100.44544,,,,,,
6,6.677573,100.447451,6.676986,100.449303,6.675809,100.449184,6.676353,100.447148,,,,,,
7,6.676986,100.449303,6.676696,100.450806,6.67357,100.451319,6.673976,100.450719,6.675416,100.449788,6.675809,100.449303,,
8,6.676696,100.450806,6.675463,100.451997,6.67357,100.451319,,,,,,,,
9,6.677575,100.449568,6.677247,100.451234,6.676696,100.450806,6.677033,100.449161,,,,,,
10,6.678161,100.450042,6.677837,100.451738,6.677247,100.451234,6.677575,100.449568,,,,,,
11,6.678845,100.450628,6.678643,100.452463,6.677837,100.451738,6.678161,100.450042,,,,,,
12,6.679632,100.451265,6.67954,100.4532,6.678643,100.452463,6.678845,100.450628,,,,,,
13,6.680391,100.451475,6.680504,100.453108,6.67954,100.4532,6.679632,100.451265,6.679911,100.451488,,,,
14,6.681531,100.451434,6.681727,100.452495,6.680504,100.453108,6.680391,100.451475,,,,,,
15,6.682976,100.451387,6.683028,100.452925,6.681727,100.452495,6.681531,100.451434,,,,,,
16,6.684191,100.451354,6.684194,100.452903,6.683028,100.452925,6.682976,100.451387,,,,,,
17,6.683066,100.4441,6.683024,100.444741,6.68365,100.446612,6.681313,100.445723,6.681273,100.445272,6.680952,100.444884,6.68141,100.443686
18,6.68337,100.442979,6.683066,100.4441,6.68141,100.443686,6.681728,100.442867,6.681487,100.442544,6.681518,100.442414,,
19,6.683655,100.441725,6.68337,100.442979,6.681518,100.442414,6.681897,100.441144,,,,,,
20,6.684004,100.440457,6.683655,100.441725,6.681897,100.441144,6.682263,100.439984,,,,,,
21,6.68491,100.439207,6.684396,100.439423,6.684818,100.439942,6.684114,100.440116,6.684004,100.440457,6.682263,100.439984,6.682502,100.43866
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,6.679842,100.44497,6.679223,100.448039,6.678501,100.447849,6.679062,100.444596,,,,,,
26,6.680476,100.445308,6.679983,100.448273,6.679223,100.448039,6.679842,100.44497,,,,,,
27,6.681011,100.446488,6.680757,100.448513,6.679983,100.448273,6.680338,100.446188,,,,,,
28,6.681616,100.445851,6.681544,100.446692,6.680338,100.446188,6.680476,100.445308,,,,,,
29,6.681544,100.446692,6.681423,100.44872,6.680757,100.448513,6.681011,100.446488,,,,,,
30,6.682504,100.446182,6.682397,100.449016,6.681423,100.44872,6.681616,100.445851,,,,,,
31,6.683225,100.446449,6.683408,100.449307,6.682397,100.449016,6.682504,100.446182,,,,,,
32,6.68365,100.446612,6.683904,100.447555,6.684216,100.449918,6.684191,100.451354,6.683967,100.451361,6.683401,100.449302,6.683225,100.446449
33,6.683408,100.449307,6.683967,100.451361,6.682831,100.451383,6.682397,100.449016,,,,,,
34,6.682397,100.449016,6.682836,100.451388,6.681531,100.451434,6.681423,100.44872,,,,,,
35,6.680757,100.448513,6.680672,100.451463,6.679911,100.451488,6.679983,100.448273,,,,,,
36,6.679983,100.448273,6.679911,100.451488,6.678845,100.450628,6.679223,100.448039,,,,,,
37,6.679223,100.448039,6.678845,100.450628,6.678086,100.449951,6.678501,100.447849,,,,,,
38A,6.681423,100.44872,6.681531,100.451434,6.680672,100.451463,6.680757,100.448513,,,,,,
38B,6.678501,100.447849,6.678086,100.449951,6.677033,100.449161,6.677551,100.447557,,,,,,